starname,mag3_6,mag4_5,mag5_8,mag8_0,mag24
2dFS3248,16.122,16.179,99.999,99.999,99.999
AzV491;2dFS3249,15.437,15.436,99.999,99.999,99.999
AzV492;2dFS3252,13.263,13.232,13.064,13.108,99.999
2dFS3254,15.636,15.6,99.999,99.999,99.999
2dFS3257,16.32,16.397,99.999,99.999,99.999
2dFS3259,16.88,99.999,99.999,99.999,99.999
2dFS3260,15.303,99.999,99.999,99.999,99.999
2dFS3261,16.401,16.366,99.999,99.999,99.999
2dFS3262,16.436,16.48,99.999,99.999,99.999
2dFS3263,16.625,16.715,99.999,99.999,99.999
2dFS3264,99.999,16.227,99.999,99.999,99.999
2dFS3265,99.999,13.656,13.328,12.896,99.999
2dFS3266,16.351,16.443,99.999,99.999,99.999
2dFS3267,17.171,99.999,99.999,99.999,99.999
2dFS3269,15.636,99.999,99.999,99.999,99.999
2dFS3270,17.17,99.999,99.999,99.999,99.999
2dFS3271,16.362,16.362,99.999,99.999,99.999
2dFS3272,15.215,15.205,99.999,99.999,99.999
2dFS3273,13.352,13.229,13.051,12.744,99.999
2dFS3275,16.621,16.581,99.999,99.999,99.999
2dFS3276,16.304,16.148,99.999,99.999,99.999
2dFS3280,17.5,99.999,99.999,99.999,99.999
2dFS3282,17.212,99.999,99.999,99.999,99.999
2dFS3284,17.029,17.078,99.999,99.999,99.999
2dFS3285,15.6,15.681,99.999,99.999,99.999
2dFS3290,15.544,15.302,99.999,99.999,99.999
2dFS3294,16.272,15.993,99.999,99.999,99.999
2dFS3295,16.248,16.296,99.999,99.999,99.999
2dFS3296,16.072,16.024,99.999,99.999,99.999
2dFS3297,16.321,16.265,99.999,99.999,99.999
2dFS3298,16.524,99.999,99.999,99.999,99.999
2dFS3301,15.048,14.772,14.433,99.999,99.999
2dFS3304,17.021,99.999,99.999,99.999,99.999
2dFS3306,17.885,99.999,99.999,99.999,99.999
2dFS3310,16.551,16.246,99.999,99.999,99.999
2dFS3314,15.138,14.941,14.502,99.999,99.999
2dFS3316,14.965,14.908,99.999,99.999,99.999
2dFS3317,15.941,15.74,99.999,99.999,99.999
2dFS3318,16.33,16.383,99.999,99.999,99.999
2dFS3319,16.578,16.32,99.999,99.999,99.999
2dFS3320,16.772,16.706,99.999,99.999,99.999
2dFS3321,16.754,16.473,99.999,99.999,99.999
2dFS3322,15.633,15.418,99.999,99.999,99.999
2dFS3324,99.999,17.054,99.999,99.999,99.999
2dFS3325,16.545,99.999,99.999,99.999,99.999
2dFS3326,16.22,15.987,99.999,99.999,99.999
2dFS3327,15.006,15.089,99.999,99.999,99.999
2dFS3328,15.625,15.531,99.999,99.999,99.999
2dFS3333,15.867,15.971,99.999,99.999,99.999
2dFS3338,16.363,15.968,99.999,99.999,99.999
2dFS3339,15.821,15.839,99.999,99.999,99.999
2dFS3341,15.344,15.368,99.999,99.999,99.999
2dFS3342,13.89,99.999,13.4,99.999,99.999
2dFS3345,16.703,16.242,99.999,99.999,99.999
2dFS3346,16.16,15.781,99.999,99.999,99.999
2dFS3348,16.833,99.999,99.999,99.999,99.999
2dFS3352,16.982,99.999,99.999,99.999,99.999
2dFS3353,16.491,16.223,99.999,99.999,99.999
2dFS3356,15.809,15.541,99.999,99.999,99.999
