IDs,mag3_6,mag4_4,mag5_8,mag8_0,mag24
SSTISAGEMA J001956.85-732217.4  ,14.1474275734761,10.7279684999844,13.1329069976488,10.7279684999844,6.45884035829674
SSTISAGEMA J002023.87-732021.3  ,12.3333510871844,9.11423309420566,11.6832700095756,9.11423309420566,6.02132799557665
SSTISAGEMA J002048.76-732808.6  ,17.2397087827076,12.2304735206726,14.1700022444592,12.2304735206726,9.52691351012032
SSTISAGEMA J002430.71-740138.2  ,16.4825814698459,12.6072128240644,13.858754868598,12.6072128240644,8.59759653374713
SSTISAGEMA J002432.91-740150.1  ,15.703086012014,11.8379481297898,13.2227758610126,11.8379481297898,9.57606841881802
SSTISAGEMA J002519.76-730824.5  ,16.4164919062364,12.5668598460585,14.2809824194671,12.5668598460585,9.134472821874
SSTISAGEMA J002602.56-724717.9  ,13.6747869520269,10.6451449564285,11.7761245504261,10.6451449564285,7.23467948982792
SSTISAGEMA J002630.45-730048.2  ,13.498334286706,11.0098518091315,11.8307955339526,11.0098518091315,7.67289056535936
SSTISAGEMA J002704.15-720353.8  ,12.6928322177287,9.84164332543177,12.1619954335876,9.84164332543177,99.999
SSTISAGEMA J002726.22-723155.1  ,12.8377131663584,10.4065566636904,12.3668862599415,10.4065566636904,6.98270931267798
SSTISAGEMA J002800.81-731444.3  ,16.957426836634,13.2787922782567,14.6689330825966,13.2787922782567,11.7766256213647
SSTISAGEMA J002806.82-731450.1  ,18.3282011007134,13.9739431961151,15.2942455940033,13.9739431961151,10.0895748181957
SSTISAGEMA J002810.43-725844.5  ,12.2488712046393,8.00169964600911,9.78642451168843,8.00169964600911,1.44555373365704
SSTISAGEMA J002839.92-742020.0  ,13.1811512003647,9.03484157735723,11.9211044013614,9.03484157735723,5.69011178653185
SSTISAGEMA J002957.37-740406.8  ,14.2567413963193,10.5070879722334,12.9454332397121,10.5070879722334,7.29851440562232
SSTISAGEMA J003138.16-734748.0  ,15.4359847620214,11.8471884852523,13.2910121290849,11.8471884852523,99.999
SSTISAGEMA J003140.15-734753.5  ,12.6890993888407,9.3471884631275,10.8554903747562,9.3471884631275,3.94497974311791
SSTISAGEMA J003156.90-733113.5  ,12.684508535406,9.63688307101529,10.6482353389268,9.63688307101529,6.2249674677196
SSTISAGEMA J003207.02-734737.4  ,17.3585043506345,12.6471830276551,14.3461963979475,12.6471830276551,8.52521952353406
SSTISAGEMA J003214.95-721332.5  ,14.6465053486824,10.5206768250608,13.4668895977176,10.5206768250608,7.66668484873415
SSTISAGEMA J003323.95-741358.3  ,15.6596507912627,10.7598147408537,12.3006775968059,10.7598147408537,6.65516725717084
SSTISAGEMA J003331.66-714216.6  ,13.4602344061783,10.9392436702208,11.8056033336245,10.9392436702208,99.999
SSTISAGEMA J003418.15-733409.3  ,13.498334286706,10.591295741738,11.7521559131206,10.591295741738,6.37551780613088
SSTISAGEMA J003426.86-734029.7  ,18.0516626358675,14.167955410989,15.0094824719752,14.167955410989,9.93268014759788
SSTISAGEMA J003521.44-732658.6  ,16.0998789389019,12.7466008970743,14.2809824194671,12.7466008970743,9.75433351885235
SSTISAGEMA J003525.14-732430.6  ,16.4023360554185,12.1200329154849,13.9957496373783,12.1200329154849,9.23836456838321
SSTISAGEMA J003541.30-730925.5  ,13.4054797458555,10.5070879722334,11.4845755252613,10.5070879722334,6.72788875149617
SSTISAGEMA J003542.83-732124.3  ,15.1890993339975,11.5418238877686,12.9131882173426,11.5418238877686,6.05606192858351
SSTISAGEMA J003543.51-732110.7  ,10.8878251684996,7.46059898653534,8.30281370958208,7.46059898653534,3.34066872486871
SSTISAGEMA J003549.30-740737.9  ,12.852639268523,10.7279684999844,11.5693213584148,10.7279684999844,8.76117794492684
SSTISAGEMA J003616.99-732725.9  ,13.9615858964022,10.6512964469809,11.9100816147712,10.6512964469809,5.98166202595425
SSTM1SAGE1 J003617.19-735958.8  ,13.2065629739812,9.46712354188391,11.969442952067,9.46712354188391,6.02953598396955
SSTISAGEMA J003625.23-733242.5  ,13.744250692666,10.5568250631424,11.5854664164482,10.5568250631424,6.52042080492607
SSTISAGEMA J003625.97-732555.5  ,12.7123494251681,9.85045854425351,10.7658737944197,9.85045854425351,5.62025472534245
