SourceName,mag3_6,dmag3_6,mag4_5,dmag4_5,mag5_8,dmag5_8,mag8_0,dmag8_0,mag24,dmag24
N66_J005852.97-720750.7,17.8369998932,0.1350000054,17.5100002289,0.1289999932,15.5659999847,0.174999997,14.3950004578,0.1509999931,99.999,99.999
N66_J005857.26-720841.5,17.2339992523,0.1410000026,16.843000412,0.1630000025,15.6350002289,0.1630000025,13.9809999466,0.1800000072,99.999,99.999
N66_J005901.89-721034.1,14.5710000992,0.1829999983,14.3629999161,0.0480000004,12.904999733,0.0520000011,11.6599998474,0.0370000005,99.999,99.999
N66_J005903.37-721224.2,15.8369998932,0.1000000015,14.9110002518,0.0329999998,13.970000267,0.064000003,12.875,0.1169999987,99.999,99.999
N66_J005904.09-721059.3,99.9990005493,99.9990005493,14.5819997787,0.1669999957,13.140999794,0.1070000008,11.7239999771,0.0869999975,99.999,99.999
N66_J005905.21-721120.2,15.7880001068,0.1829999983,15.0539999008,0.0930000022,14.017999649,0.125,12.7969999313,0.1379999965,99.999,99.999
N66_J005907.80-720932.0,16.5069999695,0.1000000015,16.781999588,0.1110000014,15.1689996719,0.1379999965,13.656999588,0.1449999958,99.999,99.999
N66_J005909.71-721231.2,16.1000003815,0.0810000002,16.1620006561,0.0689999983,15.2989997864,0.1519999951,99.9990005493,99.9990005493,99.999,99.999
N66_J005910.13-720919.9,16.4020004272,0.0900000036,16.267999649,0.0909999982,14.7629995346,0.1340000033,13.4149999619,0.1659999937,99.999,99.999
N66_J005913.89-720847.1,15.5649995804,0.1110000014,15.8100004196,0.1340000033,15.1300001144,0.1410000026,13.9940004349,0.1490000039,99.999,99.999
N66_J005920.97-720841.1,14.6979999542,0.0329999998,13.8439998627,0.0250000004,13.0170001984,0.1270000041,11.9750003815,0.1860000044,8.402,0.03701
N76_J010303.47-720206.4,14.2880001068,0.0610000007,13.8439998627,0.0390000008,11.984000206,0.0280000009,10.6180000305,0.0320000015,7.426,0.0208
N76_J010311.82-720257.2,99.9990005493,99.9990005493,17.9379997253,0.1669999957,15.3819999695,0.175999999,99.9990005493,99.9990005493,99.999,99.999
N76_J010311.93-720228.2,16.111000061,0.0930000022,14.968000412,0.0520000011,12.9949998856,0.1560000032,99.9990005493,99.9990005493,7.278,0.01773
N76_J010312.33-720306.9,17.3589992523,0.0930000022,17.7630004883,0.1420000046,15.4079999924,0.1140000001,13.7980003357,0.125,99.999,99.999
N76_J010312.34-720413.4,15.9600000381,0.1819999963,16.077999115,0.0399999991,14.0810003281,0.1379999965,99.9990005493,99.9990005493,99.999,99.999
N76_J010314.49-720322.4,13.2559995651,0.0140000004,12.3950004578,0.0109999999,11.5769996643,0.0140000004,10.517999649,0.0099999998,7.639,0.02619
N76_J010316.07-720354.3,17.1299991608,0.1659999937,17.5100002289,0.1930000037,14.6009998322,0.1350000054,13.1359996796,0.1410000026,99.999,99.999
N76_J010319.66-720224.8,99.9990005493,99.9990005493,16.4090003967,0.150000006,14.2620000839,0.1019999981,12.5889997482,0.1829999983,8.924,0.03351
N76_J010323.79-720054.9,99.9990005493,99.9990005493,17.2700004578,0.1209999993,15.0679998398,0.2150000036,99.9990005493,99.9990005493,99.999,99.999
N76_J010327.00-720235.0,14.8479995728,0.0209999997,14.5659999847,0.0250000004,12.5480003357,0.0209999997,10.9890003204,0.0179999992,7.709,0.0242
